MoleculeType	Identifier	MoleculeName	
Proteins	Q14653	UniProt:Q14653 IRF3	
Proteins	Q13526	UniProt:Q13526 PIN1	
Proteins	P05161	UniProt:P05161 ISG15	
Proteins	Q3LFD5	UniProt:Q3LFD5 USP41	
Proteins	Q9UMW8	UniProt:Q9UMW8 USP18	
Proteins	P20592	UniProt:P20592 MX2	
Proteins	P20591	UniProt:P20591 MX1	
Proteins	O95786	UniProt:O95786 DDX58	
Proteins	P19525	UniProt:P19525 EIF2AK2	
Proteins	P09914	UniProt:P09914 IFIT1	
Proteins	P19174	UniProt:P19174 PLCG1	
Proteins	P27361	UniProt:P27361 MAPK3	
Proteins	P51965	UniProt:P51965 UBE2E1	
Proteins	P23458	UniProt:P23458 JAK1	
Proteins	P42224	UniProt:P42224 STAT1	
Proteins	Q14258	UniProt:Q14258 TRIM25	
Proteins	Q9Y4X5	UniProt:Q9Y4X5 ARIH1	
Proteins	Q9UII4	UniProt:Q9UII4 HERC5	
Proteins	O14933	UniProt:O14933 UBE2L6	
Proteins	O60573	UniProt:O60573 EIF4E2	
Proteins	P03496	UniProt:P03496 NS	
Proteins	Q8N5X7	UniProt:Q8N5X7 EIF4E3	
Proteins	P06730	UniProt:P06730 EIF4E	
Proteins	P38919	UniProt:P38919 EIF4A3	
Proteins	P60842	UniProt:P60842 EIF4A1	
Proteins	Q14240	UniProt:Q14240 EIF4A2	
Proteins	O43432	UniProt:O43432 EIF4G3	
Proteins	P78344	UniProt:P78344 EIF4G2	
Proteins	Q04637	UniProt:Q04637 EIF4G1	
Proteins	P41226	UniProt:P41226 UBA7	
Proteins	P46934	UniProt:P46934 NEDD4	
Proteins	O75369	UniProt:O75369 FLNB	
Proteins	P52948-5	UniProt:P52948-5 NUP98	
Proteins	Q96EE3-1	UniProt:Q96EE3-1 SEH1L	
Proteins	P57740	UniProt:P57740 NUP107	
Proteins	Q8NFH3	UniProt:Q8NFH3 NUP43	
Proteins	Q12769	UniProt:Q12769 NUP160	
Proteins	Q8NFH4	UniProt:Q8NFH4 NUP37	
Proteins	Q9BW27	UniProt:Q9BW27 NUP85	
Proteins	Q8WUM0	UniProt:Q8WUM0 NUP133	
Proteins	P55735	UniProt:P55735 SEC13	
